Accession,Species,Genus,Family,Isolate,Virus Taxonomic ID,Virus Name,Length,Isolate Lineage source,leiden,genus,species,infer_genus,cdhit_representative,orf_id,aa_length,phylo_cluster,orf1_genus
MN771466.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-587-281,93678,TTV-like mini virus,2797,"",367,979,2046,Betatorquevirus,MN771466.1,MN771466.1_1,664,24,Betatorquevirus
MN771465.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-587-13,93678,TTV-like mini virus,2808,"",82,75,2009,Betatorquevirus,MN771465.1,MN771465.1_1,653,19,Betatorquevirus
MN771464.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-587-106,93678,TTV-like mini virus,2817,"",142,150,1954,Betatorquevirus,MN771464.1,MN771464.1_1,660,17,Betatorquevirus
MN771461.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-581-53,93678,TTV-like mini virus,2770,"",349,990,2112,Betatorquevirus,MN771461.1,MN771461.1_1,645,22,Betatorquevirus
MN771460.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-581-36,93678,TTV-like mini virus,2894,"",96,617,413,Betatorquevirus,MN771460.1,MN771460.1_1,676,7,Betatorquevirus
MN771459.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-578-15,93678,TTV-like mini virus,2869,"",170,216,1639,Betatorquevirus,MN771459.1,MN771459.1_1,668,25,Betatorquevirus
MN771457.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-577-78,93678,TTV-like mini virus,2898,"",60,107,1422,Betatorquevirus,MN771457.1,MN771457.1_1,677,20,Betatorquevirus
MN771456.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-57-43,93678,TTV-like mini virus,2777,"",289,484,2099,Betatorquevirus,MN771456.1,MN771456.1_1,658,25,Betatorquevirus
MN771455.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-572-35,93678,TTV-like mini virus,2818,"",8,957,1946,Betatorquevirus,MN771455.1,MN771455.1_1,667,17,Betatorquevirus
MN771453.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-563-15,93678,TTV-like mini virus,2911,"",162,553,1325,Betatorquevirus,MN771453.1,MN771453.1_1,674,11,Betatorquevirus
MN771452.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-552-53,93678,TTV-like mini virus,2782,"",0,528,2087,Betatorquevirus,MN771452.1,MN771452.1_1,662,2,Betatorquevirus
MN771450.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-546-19,93678,TTV-like mini virus,2773,"",0,3,2109,Betatorquevirus,MN771450.1,MN771450.1_1,659,2,Betatorquevirus
MN771447.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-525-1,93678,TTV-like mini virus,2849,"",0,55,320,Betatorquevirus,MN771447.1,MN771447.1_1,665,2,Betatorquevirus
MN771445.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-514-27,93678,TTV-like mini virus,2890,"",79,196,433,Betatorquevirus,MN771445.1,MN771445.1_1,662,4,Betatorquevirus
MN771444.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-51-25,93678,TTV-like mini virus,2846,"",94,231,191,Betatorquevirus,MN771444.1,MN771444.1_1,660,4,Betatorquevirus
MN771443.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-511-15,93678,TTV-like mini virus,2819,"",89,46,243,Betatorquevirus,MN771443.1,MN771443.1_1,663,13,Betatorquevirus
MN771438.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-462-3,93678,TTV-like mini virus,2834,"",48,945,1865,Betatorquevirus,MN771438.1,MN771438.1_1,641,19,Betatorquevirus
MN771432.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-402-43,93678,TTV-like mini virus,2738,"",359,995,2144,Betatorquevirus,MN771432.1,MN771432.1_1,629,3,Betatorquevirus
MN771431.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-401-20,93678,TTV-like mini virus,2883,"",280,883,1538,Betatorquevirus,MN771431.1,MN771431.1_1,678,25,Betatorquevirus
MN771429.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-151,93678,TTV-like mini virus,2817,"",226,959,1953,Betatorquevirus,MN771429.1,MN771429.1_1,659,9,Betatorquevirus
MN771428.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-124,93678,TTV-like mini virus,2897,"",307,860,1436,Betatorquevirus,MN771428.1,MN771428.1_1,666,10,Betatorquevirus
MN771426.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-380-77,93678,TTV-like mini virus,2797,"",8,31,2045,Betatorquevirus,MN771426.1,MN771426.1_1,662,17,Betatorquevirus
MN771425.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-380-71,93678,TTV-like mini virus,2813,"",142,150,1980,Betatorquevirus,MN771425.1,MN771425.1_1,659,17,Betatorquevirus
MN771423.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-380-32,93678,TTV-like mini virus,2872,"",19,893,1618,Betatorquevirus,MN771423.1,MN771423.1_1,662,16,Betatorquevirus
MN771421.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-370-6,93678,TTV-like mini virus,2893,"",169,296,292,Betatorquevirus,MN771421.1,MN771421.1_1,676,18,Betatorquevirus
MN771419.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-367-39,93678,TTV-like mini virus,2818,"",127,234,1945,Betatorquevirus,MN771419.1,MN771419.1_1,659,17,Betatorquevirus
MN771418.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-78,93678,TTV-like mini virus,2799,"",107,76,546,Betatorquevirus,MN771418.1,MN771418.1_1,644,3,Betatorquevirus
MN771416.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-31,93678,TTV-like mini virus,2935,"",161,656,565,Betatorquevirus,MN771416.1,MN771416.1_1,679,12,Betatorquevirus
MN771415.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-352-28,93678,TTV-like mini virus,2810,"",82,75,1994,Betatorquevirus,MN771415.1,MN771415.1_1,653,19,Betatorquevirus
MN771411.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-334-30,93678,TTV-like mini virus,2798,"",43,260,2043,Betatorquevirus,MN771411.1,MN771411.1_1,663,24,Betatorquevirus
MN771410.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-317-11,93678,TTV-like mini virus,2885,"",47,878,1523,Betatorquevirus,MN771410.1,MN771410.1_1,678,20,Betatorquevirus
MN771409.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-316-34,93678,TTV-like mini virus,2769,"",54,16,2115,Betatorquevirus,MN771409.1,MN771409.1_1,634,3,Betatorquevirus
MN771408.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-314-22,93678,TTV-like mini virus,2851,"",12,226,1757,Betatorquevirus,MN771408.1,MN771408.1_1,663,4,Betatorquevirus
MN771406.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-300-26,93678,TTV-like mini virus,2756,"",45,7,2133,Betatorquevirus,MN771406.1,MN771406.1_1,642,2,Betatorquevirus
MN771405.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-300-15,93678,TTV-like mini virus,2956,"",47,230,541,Betatorquevirus,MN771405.1,MN771405.1_1,673,20,Betatorquevirus
MN771404.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-297-107,93678,TTV-like mini virus,2837,"",12,314,1847,Betatorquevirus,MN771404.1,MN771404.1_1,657,4,Betatorquevirus
MN771401.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-266-17,93678,TTV-like mini virus,2828,"",53,241,119,Betatorquevirus,MN771401.1,MN771401.1_1,658,2,Betatorquevirus
MN771400.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-262-11,93678,TTV-like mini virus,2768,"",144,992,2118,Betatorquevirus,MN771400.1,MN771400.1_1,663,19,Betatorquevirus
MN771398.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-224-32,93678,TTV-like mini virus,2841,"",192,938,1822,Betatorquevirus,MN771398.1,MN771398.1_1,656,9,Betatorquevirus
MN771396.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-113-23,93678,TTV-like mini virus,2792,"",0,214,2062,Betatorquevirus,MN771396.1,MN771396.1_1,656,2,Betatorquevirus
MN771395.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-110-12,93678,TTV-like mini virus,2931,"",10,33,371,Betatorquevirus,MN771395.1,MN771395.1_1,661,13,Betatorquevirus
MN771392.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-87-60,93678,TTV-like mini virus,2789,"",0,493,2071,Betatorquevirus,MN771392.1,MN771392.1_1,657,2,Betatorquevirus
MN771387.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-810-56,93678,TTV-like mini virus,2892,"",83,90,1471,Betatorquevirus,MN771387.1,MN771387.1_1,669,9,Betatorquevirus
MN771386.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-804-54,93678,TTV-like mini virus,2763,"",238,493,2125,Betatorquevirus,MN771386.1,MN771386.1_1,655,2,Betatorquevirus
MN771383.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-77-130,93678,TTV-like mini virus,2861,"",96,693,1693,Betatorquevirus,MN771383.1,MN771383.1_1,672,7,Betatorquevirus
MN771379.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-666-17,93678,TTV-like mini virus,2778,"",351,988,2096,Betatorquevirus,MN771379.1,MN771379.1_1,664,24,Betatorquevirus
MN771378.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-654-6,93678,TTV-like mini virus,2833,"",151,381,1872,Betatorquevirus,MN771378.1,MN771378.1_1,660,3,Betatorquevirus
MN771376.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-639-1584,93678,TTV-like mini virus,2869,"",168,228,1638,Betatorquevirus,MN771376.1,MN771376.1_1,661,9,Betatorquevirus
MN771375.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-626-28,93678,TTV-like mini virus,2799,"",172,255,2040,Betatorquevirus,MN771375.1,MN771375.1_1,638,3,Betatorquevirus
MN771374.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-615-669,93678,TTV-like mini virus,2872,"",171,892,1617,Betatorquevirus,MN771374.1,MN771374.1_1,678,18,Betatorquevirus
MN771373.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-61-11,93678,TTV-like mini virus,2930,"",275,828,1209,Betatorquevirus,MN771373.1,MN771373.1_1,665,28,Hetorquevirus
MN771372.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-595-28,93678,TTV-like mini virus,2844,"",241,639,520,Betatorquevirus,MN771372.1,MN771372.1_1,670,24,Betatorquevirus
MN771371.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-593-18,93678,TTV-like mini virus,2837,"",97,210,1846,Betatorquevirus,MN771371.1,MN771371.1_1,670,16,Betatorquevirus
MN771370.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-590-73,93678,TTV-like mini virus,2835,"",34,549,1861,Betatorquevirus,MN771370.1,MN771370.1_1,669,22,Betatorquevirus
MN771367.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-552-46,93678,TTV-like mini virus,2853,"",141,146,1743,Betatorquevirus,MN771367.1,MN771367.1_1,662,5,Betatorquevirus
MN771366.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-479-12,93678,TTV-like mini virus,2876,"",228,420,1587,Betatorquevirus,MN771366.1,MN771366.1_1,660,9,Betatorquevirus
MN771365.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-475-16,93678,TTV-like mini virus,2801,"",82,75,2036,Betatorquevirus,MN771365.1,MN771365.1_1,653,19,Betatorquevirus
MN771364.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-468-12,93678,TTV-like mini virus,2792,"",118,984,2061,Betatorquevirus,MN771364.1,MN771364.1_1,660,24,Betatorquevirus
MN771362.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-156,93678,TTV-like mini virus,2815,"",329,960,1966,Betatorquevirus,MN771362.1,MN771362.1_1,660,5,Betatorquevirus
MN771361.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-153,93678,TTV-like mini virus,2816,"",43,251,1960,Betatorquevirus,MN771361.1,MN771361.1_1,664,24,Betatorquevirus
MN771360.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-380-47,93678,TTV-like mini virus,2914,"",2,842,1297,Betatorquevirus,MN771360.1,MN771360.1_1,676,16,Betatorquevirus
MN771359.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-369-24,93678,TTV-like mini virus,2919,"",47,230,244,Betatorquevirus,MN771359.1,MN771359.1_1,673,20,Betatorquevirus
MN771357.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-82,93678,TTV-like mini virus,2797,"",0,2,2044,Betatorquevirus,MN771357.1,MN771357.1_1,652,2,Betatorquevirus
MN771356.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-353-56,93678,TTV-like mini virus,2774,"",86,62,2108,Betatorquevirus,MN771356.1,MN771356.1_1,663,24,Betatorquevirus
MN771355.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-27,93678,TTV-like mini virus,2991,"",190,461,996,Betatorquevirus,MN771355.1,MN771355.1_1,681,18,Betatorquevirus
MN771354.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-346-49,93678,TTV-like mini virus,2791,"",43,480,2065,Betatorquevirus,MN771354.1,MN771354.1_1,665,24,Betatorquevirus
MN771352.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-335-6,93678,TTV-like mini virus,2867,"",192,384,1653,Betatorquevirus,MN771352.1,MN771352.1_1,660,9,Betatorquevirus
MN771351.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-324-19,93678,TTV-like mini virus,2774,"",92,125,2107,Betatorquevirus,MN771351.1,MN771351.1_1,644,2,Betatorquevirus
MN771350.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-319-20,93678,TTV-like mini virus,2937,"",28,821,1176,Betatorquevirus,MN771350.1,MN771350.1_1,681,6,Betatorquevirus
MN771349.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-254-21,93678,TTV-like mini virus,2961,"",224,375,1073,Betatorquevirus,MN771349.1,MN771349.1_1,668,8,Betatorquevirus
MN771348.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-251-19,93678,TTV-like mini virus,2900,"",171,855,1409,Betatorquevirus,MN771348.1,MN771348.1_1,690,18,Betatorquevirus
MN771347.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-238-18,93678,TTV-like mini virus,2802,"",9,496,2034,Betatorquevirus,MN771347.1,MN771347.1_1,668,24,Betatorquevirus
MN771345.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-11-25,93678,TTV-like mini virus,2925,"",36,525,1229,Betatorquevirus,MN771345.1,MN771345.1_1,671,20,Betatorquevirus
MN771339.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-38-9,93678,TTV-like mini virus,2891,"",268,509,1481,Betatorquevirus,MN771339.1,MN771339.1_1,679,6,Betatorquevirus
MN771334.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-766-268,93678,TTV-like mini virus,2993,"",63,787,993,Hetorquevirus,MN771334.1,MN771334.1_1,663,27,Hetorquevirus
MN771333.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-577-27,93678,TTV-like mini virus,2999,"",3,414,980,Betatorquevirus,MN771333.1,MN771333.1_1,675,14,Betatorquevirus
MN771329.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-473-1,93678,TTV-like mini virus,2943,"",3,817,1145,Betatorquevirus,MN771329.1,MN771329.1_1,671,14,Betatorquevirus
MN771326.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-353-16,93678,TTV-like mini virus,2999,"",3,414,979,Betatorquevirus,MN771326.1,MN771326.1_1,675,14,Betatorquevirus
MN771322.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-297-89,93678,TTV-like mini virus,2970,"",3,50,76,Betatorquevirus,MN771322.1,MN771322.1_1,679,14,Betatorquevirus
MN771319.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-449-8,93678,TTV-like mini virus,3013,"",3,50,960,Betatorquevirus,MN771319.1,MN771319.1_1,678,14,Betatorquevirus
MN771316.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-870-6,93678,TTV-like mini virus,2959,"",3,81,5,Betatorquevirus,MN771316.1,MN771316.1_1,671,14,Betatorquevirus
MN771315.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-810-60,93678,TTV-like mini virus,2813,"",293,647,535,Betatorquevirus,MN771315.1,MN771315.1_1,651,2,Betatorquevirus
MN771312.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-254-27,93678,TTV-like mini virus,2878,"",37,561,1567,Betatorquevirus,MN771312.1,MN771312.1_1,677,20,Betatorquevirus
MN771311.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-122-3,93678,TTV-like mini virus,2916,"",7,162,1285,Betatorquevirus,MN771311.1,MN771311.1_1,679,20,Betatorquevirus
MN771310.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-865-115,93678,TTV-like mini virus,2899,"",18,22,1418,Betatorquevirus,MN771310.1,MN771310.1_1,668,17,Betatorquevirus
MN771305.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-390-10,93678,TTV-like mini virus,2861,"",194,433,198,Betatorquevirus,MN771305.1,MN771305.1_1,665,9,Betatorquevirus
MN771304.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-119-9,93678,TTV-like mini virus,2883,"",5,430,173,Betatorquevirus,MN771304.1,MN771304.1_1,662,15,Betatorquevirus
MN771303.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-94-28,93678,TTV-like mini virus,2835,"",201,349,1860,Betatorquevirus,MN771303.1,MN771303.1_1,665,24,Betatorquevirus
MN771300.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-873-24,93678,TTV-like mini virus,2984,"",62,792,1016,Betatorquevirus,MN771300.1,MN771300.1_1,685,23,Betatorquevirus
MN771299.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-866-433,93678,TTV-like mini virus,2831,"",187,280,1884,Betatorquevirus,MN771299.1,MN771299.1_1,646,21,Betatorquevirus
MN771297.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-803-9,93678,TTV-like mini virus,2902,"",110,852,1389,Betatorquevirus,MN771297.1,MN771297.1_1,674,7,Betatorquevirus
MN771294.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-77-104,93678,TTV-like mini virus,2862,"",8,153,174,Betatorquevirus,MN771294.1,MN771294.1_1,665,17,Betatorquevirus
MN771293.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-761-12,93678,TTV-like mini virus,2867,"",270,631,491,Betatorquevirus,MN771293.1,MN771293.1_1,668,23,Betatorquevirus
MN771291.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-731-10,93678,TTV-like mini virus,2799,"",200,632,495,Betatorquevirus,MN771291.1,MN771291.1_1,663,24,Betatorquevirus
MN771289.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-687-17,93678,TTV-like mini virus,2856,"",219,415,1727,Betatorquevirus,MN771289.1,MN771289.1_1,662,5,Betatorquevirus
MN771284.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-656-11,93678,TTV-like mini virus,2784,"",9,148,2081,Betatorquevirus,MN771284.1,MN771284.1_1,660,24,Betatorquevirus
MN771282.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-625-8,93678,TTV-like mini virus,2898,"",10,235,102,Betatorquevirus,MN771282.1,MN771282.1_1,669,13,Betatorquevirus
MN771281.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-6-19,93678,TTV-like mini virus,2884,"",147,471,1531,Betatorquevirus,MN771281.1,MN771281.1_1,670,7,Betatorquevirus
MN771279.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-616-19,93678,TTV-like mini virus,2868,"",159,900,1646,Betatorquevirus,MN771279.1,MN771279.1_1,667,24,Betatorquevirus
MN771277.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-6-11,93678,TTV-like mini virus,2942,"",278,475,1149,Betatorquevirus,MN771277.1,MN771277.1_1,664,27,Hetorquevirus
MN771276.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-609-7,93678,TTV-like mini virus,2901,"",10,235,642,Betatorquevirus,MN771276.1,MN771276.1_1,670,13,Betatorquevirus
MN771275.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-608-11,93678,TTV-like mini virus,2815,"",9,717,1965,Betatorquevirus,MN771275.1,MN771275.1_1,655,24,Betatorquevirus
MN771273.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-590-43,93678,TTV-like mini virus,2911,"",36,525,1324,Betatorquevirus,MN771273.1,MN771273.1_1,671,20,Betatorquevirus
MN771272.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-587-87,93678,TTV-like mini virus,2793,"",201,349,2060,Betatorquevirus,MN771272.1,MN771272.1_1,661,24,Betatorquevirus
MN771271.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-587-84,93678,TTV-like mini virus,2826,"",199,490,1902,Betatorquevirus,MN771271.1,MN771271.1_1,669,24,Betatorquevirus
MN771270.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-587-71,93678,TTV-like mini virus,2857,"",15,394,1717,Betatorquevirus,MN771270.1,MN771270.1_1,657,5,Betatorquevirus
MN771269.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-587-33,93678,TTV-like mini virus,2926,"",108,830,1226,Betatorquevirus,MN771269.1,MN771269.1_1,671,18,Betatorquevirus
MN771268.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-587-21,93678,TTV-like mini virus,2950,"",190,380,1118,Betatorquevirus,MN771268.1,MN771268.1_1,672,18,Betatorquevirus
MN771265.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-578-13,93678,TTV-like mini virus,2966,"",165,318,89,Betatorquevirus,MN771265.1,MN771265.1_1,681,18,Betatorquevirus
MN771263.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-577-93,93678,TTV-like mini virus,2901,"",37,561,1397,Betatorquevirus,MN771263.1,MN771263.1_1,678,20,Betatorquevirus
MN771262.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-577-113,93678,TTV-like mini virus,2850,"",15,93,1763,Betatorquevirus,MN771262.1,MN771262.1_1,654,5,Betatorquevirus
MN771261.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-57-35,93678,TTV-like mini virus,2842,"",39,65,448,Betatorquevirus,MN771261.1,MN771261.1_1,652,2,Betatorquevirus
MN771257.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-513-4,93678,TTV-like mini virus,2954,"",28,710,1101,Betatorquevirus,MN771257.1,MN771257.1_1,684,6,Betatorquevirus
MN771256.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-498-7,93678,TTV-like mini virus,2903,"",130,283,271,Betatorquevirus,MN771256.1,MN771256.1_1,671,7,Betatorquevirus
MN771255.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-478-21,93678,TTV-like mini virus,2843,"",79,934,1808,Betatorquevirus,MN771255.1,MN771255.1_1,660,4,Betatorquevirus
MN771254.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-476-12,93678,TTV-like mini virus,2845,"",125,166,634,Betatorquevirus,MN771254.1,MN771254.1_1,653,5,Betatorquevirus
MN771253.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-475-9,93678,TTV-like mini virus,2913,"",7,162,1304,Betatorquevirus,MN771253.1,MN771253.1_1,678,20,Betatorquevirus
MN771251.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-452-3,93678,TTV-like mini virus,2903,"",273,709,1377,Betatorquevirus,MN771251.1,MN771251.1_1,671,7,Betatorquevirus
MN771249.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-425-2,93678,TTV-like mini virus,2894,"",96,161,1456,Betatorquevirus,MN771249.1,MN771249.1_1,671,7,Betatorquevirus
MN771248.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-410-3,93678,TTV-like mini virus,2923,"",353,831,1242,Betatorquevirus,MN771248.1,MN771248.1_1,660,28,Hetorquevirus
MN771246.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-95,93678,TTV-like mini virus,2845,"",127,234,125,Betatorquevirus,MN771246.1,MN771246.1_1,659,17,Betatorquevirus
MN771244.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-79,93678,TTV-like mini virus,2920,"",1,697,1259,Betatorquevirus,MN771244.1,MN771244.1_1,678,10,Betatorquevirus
MN771243.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-76,93678,TTV-like mini virus,2897,"",30,547,1435,Betatorquevirus,MN771243.1,MN771243.1_1,676,7,Betatorquevirus
MN771239.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-380-34,93678,TTV-like mini virus,2867,"",344,901,1652,Betatorquevirus,MN771239.1,MN771239.1_1,667,9,Betatorquevirus
MN771238.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-376-9,93678,TTV-like mini virus,3004,"",62,126,100,Betatorquevirus,MN771238.1,MN771238.1_1,684,23,Betatorquevirus
MN771237.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-352-16,93678,TTV-like mini virus,2874,"",100,54,43,Betatorquevirus,MN771237.1,MN771237.1_1,656,24,Betatorquevirus
MN771236.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-350-31,93678,TTV-like mini virus,2835,"",286,597,310,Betatorquevirus,MN771236.1,MN771236.1_1,667,24,Betatorquevirus
MN771232.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-326-11,93678,TTV-like mini virus,2909,"",17,453,262,Betatorquevirus,MN771232.1,MN771232.1_1,675,7,Betatorquevirus
MN771231.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-321-9,93678,TTV-like mini virus,2912,"",67,53,521,Betatorquevirus,MN771231.1,MN771231.1_1,669,20,Betatorquevirus
MN771228.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-287B-7,93678,TTV-like mini virus,2963,"",36,215,117,Betatorquevirus,MN771228.1,MN771228.1_1,678,20,Betatorquevirus
