Accession,Species,Genus,Family,Isolate,Virus Taxonomic ID,Virus Name,Length,Isolate Lineage source,leiden,genus,species,infer_genus,cdhit_representative,orf_id,aa_length
MZ286030.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP16_C12,2055263,Anelloviridae sp.,2928,blood,32,206,1218,Alphatorquevirus,MZ286061.1,MZ286030.1_1,735
MZ286029.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP16_C9,2055263,Anelloviridae sp.,3007,blood,25,157,970,Alphatorquevirus,OZ258785.1,MZ286029.1_1,769
MZ286028.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP16_C8,2055263,Anelloviridae sp.,3026,blood,35,18,306,Alphatorquevirus,MZ286056.1,MZ286028.1_1,773
MZ286027.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP16_C7,2055263,Anelloviridae sp.,3134,blood,174,534,902,Unclassified,MZ286027.1,MZ286027.1_1,745
MZ286026.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP16_C6,2055263,Anelloviridae sp.,3157,blood,112,767,893,Gammatorquevirus,MZ286026.1,MZ286026.1_1,661
MZ286025.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP16_C5,2055263,Anelloviridae sp.,3174,blood,32,765,880,Alphatorquevirus,MZ286025.1,MZ286025.1_1,743
MZ286024.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP16_C4,2055263,Anelloviridae sp.,3230,blood,214,746,826,Unclassified,MZ286024.1,MZ286024.1_1,658
MZ286023.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP16_C3,2055263,Anelloviridae sp.,3443,blood,16,4,792,Alphatorquevirus,MZ286023.1,MZ286023.1_1,738
MZ286022.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP16_C2,2055263,Anelloviridae sp.,3918,blood,119,725,669,Unclassified,MZ286022.1,MZ286022.1_1,741
MZ286021.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP15_C7,2055263,Anelloviridae sp.,2514,blood,243,412,2223,Unclassified,MZ286021.1,MZ286021.1_1,643
MZ286020.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP15_C6,2055263,Anelloviridae sp.,2776,blood,294,491,2103,Unclassified,MZ286020.1,MZ286020.1_1,639
MZ286019.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP15_C5,2055263,Anelloviridae sp.,2947,blood,32,406,1136,Alphatorquevirus,MZ286019.1,MZ286019.1_1,743
MZ286018.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP15_C3,2055263,Anelloviridae sp.,3145,blood,24,44,898,Unclassified,MZ286018.1,MZ286018.1_1,759
MZ286017.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP15_C2,2055263,Anelloviridae sp.,3806,blood,32,728,691,Alphatorquevirus,MZ286017.1,MZ286017.1_1,749
MZ286016.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP15_C1,2055263,Anelloviridae sp.,3811,blood,24,9,688,Unclassified,MZ286070.1,MZ286016.1_1,766
MZ286014.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP14_C2,2055263,Anelloviridae sp.,3029,blood,13,12,950,Alphatorquevirus,MZ286014.1,MZ286014.1_1,765
MZ286013.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP14_C1,2055263,Anelloviridae sp.,3288,blood,24,9,805,Unclassified,KM593802.2,MZ286013.1_1,765
MZ286012.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP13_C4,2055263,Anelloviridae sp.,3006,blood,13,12,973,Alphatorquevirus,OR148955.1,MZ286012.1_1,766
MZ286011.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP13_C3,2055263,Anelloviridae sp.,3165,blood,35,392,887,Alphatorquevirus,MZ286011.1,MZ286011.1_1,758
MZ286010.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP13_C1,2055263,Anelloviridae sp.,3229,blood,20,87,832,Alphatorquevirus,MW455389.1,MZ286010.1_1,781
MZ286009.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP12_C2,2055263,Anelloviridae sp.,3515,blood,74,271,774,Alphatorquevirus,MZ286009.1,MZ286009.1_1,552
MZ286008.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP12_C1,2055263,Anelloviridae sp.,3566,blood,14,11,759,Alphatorquevirus,MZ286008.1,MZ286008.1_1,648
MZ286007.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP11_C2,2055263,Anelloviridae sp.,2817,blood,172,255,1957,Betatorquevirus,MZ286007.1,MZ286007.1_1,643
MZ286006.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP11_C1,2055263,Anelloviridae sp.,3649,blood,32,206,740,Alphatorquevirus,MZ286006.1,MZ286006.1_1,735
MZ286005.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP10_C4,2055263,Anelloviridae sp.,2786,blood,211,358,2076,Unclassified,MZ286005.1,MZ286005.1_1,661
MZ286004.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP10_C3,2055263,Anelloviridae sp.,2972,blood,168,228,1045,Betatorquevirus,MZ286004.1,MZ286004.1_1,661
MZ286003.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP10_C2,2055263,Anelloviridae sp.,3175,blood,14,74,878,Alphatorquevirus,MZ286003.1,MZ286003.1_1,644
MZ286002.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP10_C1,2055263,Anelloviridae sp.,3643,blood,14,225,741,Alphatorquevirus,MZ286002.1,MZ286002.1_1,641
MZ286001.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP8_C3,2055263,Anelloviridae sp.,2775,blood,75,276,2105,Gammatorquevirus,MZ286001.1,MZ286001.1_1,667
MZ286000.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP8_C1,2055263,Anelloviridae sp.,3186,blood,156,759,867,Gammatorquevirus,MZ286000.1,MZ286000.1_1,660
MZ285999.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP7_C10,2055263,Anelloviridae sp.,2475,blood,320,1021,2232,Unclassified,MZ285999.1,MZ285999.1_1,662
MZ285996.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP7_C6,2055263,Anelloviridae sp.,2752,blood,138,994,2135,Unclassified,MZ285996.1,MZ285996.1_1,507
MZ285995.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP7_C3,2055263,Anelloviridae sp.,3006,blood,13,12,972,Alphatorquevirus,MZ286099.1,MZ285995.1_1,767
MZ285994.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP7_C2,2055263,Anelloviridae sp.,3167,blood,14,74,886,Alphatorquevirus,MZ285994.1,MZ285994.1_1,644
MZ285993.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP7_C1,2055263,Anelloviridae sp.,3603,blood,35,18,331,Alphatorquevirus,MZ286056.1,MZ285993.1_1,773
MZ285992.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP6_C6,2055263,Anelloviridae sp.,3585,blood,71,365,754,Unclassified,MZ285992.1,MZ285992.1_1,767
MZ285991.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP6_C5,2055263,Anelloviridae sp.,2817,blood,235,344,1956,Betatorquevirus,MZ285991.1,MZ285991.1_1,669
MZ285989.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP3_C18,2055263,Anelloviridae sp.,3033,blood,14,74,949,Alphatorquevirus,MZ285989.1,MZ285989.1_1,645
MZ285988.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP3_C17,2055263,Anelloviridae sp.,2542,blood,247,64,319,Unclassified,MZ286094.1,MZ285988.1_1,732
MZ285987.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP3_C16,2055263,Anelloviridae sp.,2759,blood,73,367,2131,Alphatorquevirus,MZ285987.1,MZ285987.1_1,759
MZ285986.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP3_C15,2055263,Anelloviridae sp.,2842,blood,310,935,1815,Unclassified,MZ285986.1,MZ285986.1_1,663
MZ285985.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP3_C13,2055263,Anelloviridae sp.,2867,blood,24,351,1654,Unclassified,MZ285985.1,MZ285985.1_1,760
MZ285984.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP3_C12,2055263,Anelloviridae sp.,2872,blood,24,9,1619,Unclassified,MZ285984.1,MZ285984.1_1,762
MZ285983.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP3_C11,2055263,Anelloviridae sp.,2904,blood,74,263,1372,Alphatorquevirus,MZ285983.1,MZ285983.1_1,642
MZ285982.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP3_C10,2055263,Anelloviridae sp.,2943,blood,71,195,1146,Unclassified,MZ285982.1,MZ285982.1_1,771
MZ285981.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP3_C9,2055263,Anelloviridae sp.,2961,blood,56,108,1078,Unclassified,MZ286209.1,MZ285981.1_1,769
MZ285980.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP3_C8,2055263,Anelloviridae sp.,2968,blood,71,507,1054,Unclassified,MZ285992.1,MZ285980.1_1,767
MZ285979.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP3_C7,2055263,Anelloviridae sp.,2972,blood,70,580,1044,Alphatorquevirus,MZ285979.1,MZ285979.1_1,745
MZ285978.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP3_C6,2055263,Anelloviridae sp.,2976,blood,303,485,1038,Unclassified,MZ285978.1,MZ285978.1_1,750
MZ285977.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP3_C5,2055263,Anelloviridae sp.,3004,blood,35,18,306,Alphatorquevirus,MZ286056.1,MZ285977.1_1,773
MZ285976.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP3_C4,2055263,Anelloviridae sp.,3012,blood,13,12,963,Alphatorquevirus,MZ285976.1,MZ285976.1_1,766
MZ285975.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP3_C3,2055263,Anelloviridae sp.,3070,blood,24,44,925,Unclassified,MW455380.1,MZ285975.1_1,756
MZ285974.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP3_C2,2055263,Anelloviridae sp.,3087,blood,20,71,183,Alphatorquevirus,MZ286097.1,MZ285974.1_1,780
MZ285973.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP3_C1,2055263,Anelloviridae sp.,3195,blood,250,757,860,Unclassified,MZ285973.1,MZ285973.1_1,719
MZ285972.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP2_C5,2055263,Anelloviridae sp.,2971,blood,70,580,1048,Alphatorquevirus,MZ285979.1,MZ285972.1_1,745
MZ285971.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP2_C4,2055263,Anelloviridae sp.,2988,blood,71,338,1005,Unclassified,MZ285971.1,MZ285971.1_1,768
MZ285970.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP2_C3,2055263,Anelloviridae sp.,3408,blood,136,269,794,Alphatorquevirus,MZ286038.1,MZ285970.1_1,749
MZ285969.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP2_C2,2055263,Anelloviridae sp.,3668,blood,14,225,734,Alphatorquevirus,MZ285969.1,MZ285969.1_1,641
MZ285968.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP2_C1,2055263,Anelloviridae sp.,3809,blood,25,157,689,Alphatorquevirus,OZ258785.1,MZ285968.1_1,761
MZ285965.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP1_C5,2055263,Anelloviridae sp.,2922,blood,13,12,1250,Alphatorquevirus,MZ286220.1,MZ285965.1_1,765
MZ285964.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP1_C4,2055263,Anelloviridae sp.,2930,blood,16,4,1210,Alphatorquevirus,MZ285964.1,MZ285964.1_1,739
MZ285963.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP1_C3,2055263,Anelloviridae sp.,2961,blood,122,805,1077,Gammatorquevirus,MZ285963.1,MZ285963.1_1,666
MZ285962.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP1_C1,2055263,Anelloviridae sp.,3223,blood,206,519,837,Unclassified,MZ285962.1,MZ285962.1_1,659
MW857571.1,Torque teno virus,Unclassified,Anelloviridae,"",68887,Torque teno virus,3573,"",56,202,756,Unclassified,MW857571.1,MW857571.1_1,765
MW679006.1,Torque teno virus AZ7_4,Unclassified,Anelloviridae,AZ7_4,2853120,Torque teno virus AZ7_4,3781,"",70,287,699,Alphatorquevirus,MW679006.1,MW679006.1_1,743
MW679005.1,Torque teno virus AZ6_5,Unclassified,Anelloviridae,AZ6_5,2853119,Torque teno virus AZ6_5,3684,"",74,478,731,Alphatorquevirus,MW679005.1,MW679005.1_1,658
MW679003.1,Torque teno virus AZ1_2,Unclassified,Anelloviridae,AZ1_2,2853118,Torque teno virus AZ1_2,3770,"",13,6,703,Alphatorquevirus,MW679003.1,MW679003.1_1,765
MW455450.1,Anelloviridae sp.,Unclassified,Anelloviridae,P12-c3,2055263,Anelloviridae sp.,2568,blood,260,567,2197,Unclassified,MW455450.1,MW455450.1_1,666
MW455449.1,Anelloviridae sp.,Unclassified,Anelloviridae,P12-c2,2055263,Anelloviridae sp.,3007,blood,35,392,969,Alphatorquevirus,MW455347.1,MW455449.1_1,757
MW455448.1,Anelloviridae sp.,Unclassified,Anelloviridae,P12-c1,2055263,Anelloviridae sp.,3741,blood,103,205,711,Unclassified,MW455448.1,MW455448.1_1,739
MW455447.1,Anelloviridae sp.,Unclassified,Anelloviridae,P11-c2,2055263,Anelloviridae sp.,3088,blood,20,85,356,Alphatorquevirus,MW455390.1,MW455447.1_1,786
MW455446.1,Anelloviridae sp.,Unclassified,Anelloviridae,P11-c1,2055263,Anelloviridae sp.,3160,blood,56,202,324,Unclassified,MW455446.1,MW455446.1_1,642
MW455445.1,Anelloviridae sp.,Unclassified,Anelloviridae,P10-c9,2055263,Anelloviridae sp.,2874,blood,60,107,1608,Betatorquevirus,MW455445.1,MW455445.1_1,673
MW455444.1,Anelloviridae sp.,Unclassified,Anelloviridae,P10-c8,2055263,Anelloviridae sp.,2925,blood,45,7,1230,Betatorquevirus,MW455444.1,MW455444.1_1,642
MW455443.1,Anelloviridae sp.,Unclassified,Anelloviridae,P10-c7,2055263,Anelloviridae sp.,2926,blood,16,204,1228,Alphatorquevirus,MW455375.1,MW455443.1_1,731
MW455442.1,Anelloviridae sp.,Unclassified,Anelloviridae,P10-c6,2055263,Anelloviridae sp.,2961,blood,32,406,1076,Alphatorquevirus,MW455442.1,MW455442.1_1,743
MW455441.1,Anelloviridae sp.,Unclassified,Anelloviridae,P10-c5,2055263,Anelloviridae sp.,3191,blood,25,274,863,Alphatorquevirus,MW455432.1,MW455441.1_1,766
MW455440.1,Anelloviridae sp.,Unclassified,Anelloviridae,P10-c4,2055263,Anelloviridae sp.,3195,blood,32,356,859,Alphatorquevirus,MW455440.1,MW455440.1_1,752
MW455439.1,Anelloviridae sp.,Unclassified,Anelloviridae,P10-c3,2055263,Anelloviridae sp.,3655,blood,14,11,736,Alphatorquevirus,MW455439.1,MW455439.1_1,645
MW455438.1,Anelloviridae sp.,Unclassified,Anelloviridae,P10-c2,2055263,Anelloviridae sp.,3717,blood,16,4,720,Alphatorquevirus,MW455438.1,MW455438.1_1,739
MW455437.1,Anelloviridae sp.,Unclassified,Anelloviridae,P9-c6,2055263,Anelloviridae sp.,2881,blood,302,532,1547,Unclassified,MZ286043.1,MW455437.1_1,765
MW455436.1,Anelloviridae sp.,Unclassified,Anelloviridae,P9-c5,2055263,Anelloviridae sp.,2476,blood,123,1020,2231,Gammatorquevirus,MW455436.1,MW455436.1_1,659
MW455435.1,Anelloviridae sp.,Unclassified,Anelloviridae,P9-c4,2055263,Anelloviridae sp.,2996,blood,103,712,985,Unclassified,MW455435.1,MW455435.1_1,756
MW455434.1,Anelloviridae sp.,Unclassified,Anelloviridae,P9-c3,2055263,Anelloviridae sp.,3057,blood,55,140,290,Betatorquevirus,MW455434.1,MW455434.1_1,660
MW455433.1,Anelloviridae sp.,Unclassified,Anelloviridae,P9-c2,2055263,Anelloviridae sp.,3130,blood,14,11,903,Alphatorquevirus,MW455439.1,MW455433.1_1,645
MW455432.1,Anelloviridae sp.,Unclassified,Anelloviridae,P9-c1,2055263,Anelloviridae sp.,3763,blood,25,274,708,Alphatorquevirus,MW455432.1,MW455432.1_1,766
MW455431.1,Anelloviridae sp.,Unclassified,Anelloviridae,P8-c26,2055263,Anelloviridae sp.,2824,blood,111,109,1925,Betatorquevirus,MW455431.1,MW455431.1_1,646
MW455430.1,Anelloviridae sp.,Unclassified,Anelloviridae,P8-c25,2055263,Anelloviridae sp.,2848,blood,8,529,1784,Betatorquevirus,MW455430.1,MW455430.1_1,659
MW455429.1,Anelloviridae sp.,Unclassified,Anelloviridae,P8-c24,2055263,Anelloviridae sp.,2851,blood,0,3,1758,Betatorquevirus,MW455429.1,MW455429.1_1,663
MW455428.1,Anelloviridae sp.,Unclassified,Anelloviridae,P8-c23,2055263,Anelloviridae sp.,2860,blood,48,23,1701,Betatorquevirus,MW455428.1,MW455428.1_1,548
MW455427.1,Anelloviridae sp.,Unclassified,Anelloviridae,P8-c22,2055263,Anelloviridae sp.,2947,blood,26,155,1135,Betatorquevirus,MW455427.1,MW455427.1_1,666
MW455426.1,Anelloviridae sp.,Unclassified,Anelloviridae,P8-c18,2055263,Anelloviridae sp.,2546,blood,65,149,2210,Gammatorquevirus,MW455426.1,MW455426.1_1,667
MW455425.1,Anelloviridae sp.,Unclassified,Anelloviridae,P8-c17,2055263,Anelloviridae sp.,2810,blood,45,7,1996,Betatorquevirus,MW455425.1,MW455425.1_1,642
MW455424.1,Anelloviridae sp.,Unclassified,Anelloviridae,P8-c16,2055263,Anelloviridae sp.,2810,blood,0,2,1995,Betatorquevirus,MW455382.1,MW455424.1_1,653
MW455423.1,Anelloviridae sp.,Unclassified,Anelloviridae,P8-c13,2055263,Anelloviridae sp.,2927,blood,16,4,1223,Alphatorquevirus,MW455423.1,MW455423.1_1,739
MW455422.1,Anelloviridae sp.,Unclassified,Anelloviridae,P8-c10,2055263,Anelloviridae sp.,2988,blood,35,711,1004,Alphatorquevirus,MW455422.1,MW455422.1_1,754
MW455421.1,Anelloviridae sp.,Unclassified,Anelloviridae,P8-c9,2055263,Anelloviridae sp.,3000,blood,32,356,977,Alphatorquevirus,MW455421.1,MW455421.1_1,743
MW455420.1,Anelloviridae sp.,Unclassified,Anelloviridae,P8-c8,2055263,Anelloviridae sp.,3013,blood,20,71,961,Alphatorquevirus,MW455420.1,MW455420.1_1,780
MW455419.1,Anelloviridae sp.,Unclassified,Anelloviridae,P8-c6,2055263,Anelloviridae sp.,2988,blood,33,1,412,Betatorquevirus,MW455419.1,MW455419.1_1,668
MW455418.1,Anelloviridae sp.,Unclassified,Anelloviridae,P8-c5,2055263,Anelloviridae sp.,3075,blood,20,87,309,Alphatorquevirus,OZ258617.1,MW455418.1_1,782
MW455417.1,Anelloviridae sp.,Unclassified,Anelloviridae,P8-c4,2055263,Anelloviridae sp.,3134,blood,203,770,901,Alphatorquevirus,MW455417.1,MW455417.1_1,751
MW455416.1,Anelloviridae sp.,Unclassified,Anelloviridae,P8-c3,2055263,Anelloviridae sp.,3181,blood,25,274,872,Alphatorquevirus,MW455416.1,MW455416.1_1,767
MW455415.1,Anelloviridae sp.,Unclassified,Anelloviridae,P8-c2,2055263,Anelloviridae sp.,3201,blood,56,202,324,Unclassified,OQ283124.1,MW455415.1_1,763
MW455414.1,Anelloviridae sp.,Unclassified,Anelloviridae,P8-c1,2055263,Anelloviridae sp.,3215,blood,24,44,846,Unclassified,MW455414.1,MW455414.1_1,756
MW455413.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c25,2055263,Anelloviridae sp.,2565,blood,65,149,2199,Gammatorquevirus,MW455413.1,MW455413.1_1,666
MW455412.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c24,2055263,Anelloviridae sp.,2634,blood,206,519,2176,Unclassified,MZ285962.1,MW455412.1_1,659
MW455411.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c23,2055263,Anelloviridae sp.,2837,blood,0,0,336,Betatorquevirus,MW455411.1,MW455411.1_1,659
MW455410.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c22,2055263,Anelloviridae sp.,2915,blood,256,477,1289,Unclassified,MW455410.1,MW455410.1_1,665
MW455409.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c21,2055263,Anelloviridae sp.,2866,blood,82,75,1658,Betatorquevirus,MW455409.1,MW455409.1_1,653
MW455408.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c20,2055263,Anelloviridae sp.,2098,blood,211,358,2263,Unclassified,MW455408.1,MW455408.1_1,653
MW455407.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c19,2055263,Anelloviridae sp.,2550,blood,176,472,2207,Gammatorquevirus,MW455407.1,MW455407.1_1,662
MW455406.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c18,2055263,Anelloviridae sp.,2557,blood,157,1011,2202,Unclassified,MW455406.1,MW455406.1_1,661
MW455405.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c17,2055263,Anelloviridae sp.,2606,blood,255,550,2183,Unclassified,MW455405.1,MW455405.1_1,661
MW455404.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c16,2055263,Anelloviridae sp.,2711,blood,16,64,2155,Alphatorquevirus,MZ286158.1,MW455404.1_1,732
MW455403.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c14,2055263,Anelloviridae sp.,2785,blood,28,531,2079,Betatorquevirus,MW455403.1,MW455403.1_1,680
MW455402.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c12,2055263,Anelloviridae sp.,2854,blood,284,920,1736,Betatorquevirus,MW455402.1,MW455402.1_1,667
MW455401.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c10,2055263,Anelloviridae sp.,2950,blood,119,353,1119,Unclassified,MW455401.1,MW455401.1_1,745
MW455400.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c9,2055263,Anelloviridae sp.,2958,blood,32,406,1088,Alphatorquevirus,MW455400.1,MW455400.1_1,743
MW455399.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c8,2055263,Anelloviridae sp.,2987,blood,56,376,1013,Unclassified,MW455399.1,MW455399.1_1,761
MW455398.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c7,2055263,Anelloviridae sp.,3042,blood,51,152,939,Betatorquevirus,MW455398.1,MW455398.1_1,625
MW455397.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c6,2055263,Anelloviridae sp.,3065,blood,103,368,929,Unclassified,MW455397.1,MW455397.1_1,755
MW455396.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c5,2055263,Anelloviridae sp.,3081,blood,13,12,917,Alphatorquevirus,MZ286099.1,MW455396.1_1,767
MW455395.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c4,2055263,Anelloviridae sp.,3243,blood,56,108,818,Unclassified,MW455395.1,MW455395.1_1,769
MW455394.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c3,2055263,Anelloviridae sp.,3268,blood,205,743,811,Unclassified,MW455394.1,MW455394.1_1,676
MW455393.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c2,2055263,Anelloviridae sp.,3280,blood,174,739,807,Unclassified,MW455393.1,MW455393.1_1,758
MW455392.1,Anelloviridae sp.,Unclassified,Anelloviridae,P7-c1,2055263,Anelloviridae sp.,3328,blood,70,737,801,Alphatorquevirus,MW455392.1,MW455392.1_1,755
MW455391.1,Anelloviridae sp.,Unclassified,Anelloviridae,P6-c3,2055263,Anelloviridae sp.,2839,blood,0,3,1839,Betatorquevirus,MW455391.1,MW455391.1_1,659
MW455390.1,Anelloviridae sp.,Unclassified,Anelloviridae,P6-c2,2055263,Anelloviridae sp.,3135,blood,20,85,356,Alphatorquevirus,MW455390.1,MW455390.1_1,786
MW455389.1,Anelloviridae sp.,Unclassified,Anelloviridae,P6-c1,2055263,Anelloviridae sp.,3826,blood,20,87,682,Alphatorquevirus,MW455389.1,MW455389.1_1,781
MW455388.1,Anelloviridae sp.,Unclassified,Anelloviridae,P5-c2,2055263,Anelloviridae sp.,2241,blood,362,492,2255,Unclassified,MW455388.1,MW455388.1_1,676
MW455387.1,Anelloviridae sp.,Unclassified,Anelloviridae,P5-c1,2055263,Anelloviridae sp.,3235,blood,24,9,823,Unclassified,MW455387.1,MW455387.1_1,762
MW455386.1,Anelloviridae sp.,Unclassified,Anelloviridae,P4-c4,2055263,Anelloviridae sp.,2777,blood,54,16,2100,Betatorquevirus,MW455386.1,MW455386.1_1,634
MW455385.1,Anelloviridae sp.,Unclassified,Anelloviridae,P4-c3,2055263,Anelloviridae sp.,2865,blood,16,64,1667,Alphatorquevirus,MW455385.1,MW455385.1_1,732
MW455384.1,Anelloviridae sp.,Unclassified,Anelloviridae,P4-c2,2055263,Anelloviridae sp.,2968,blood,119,702,1053,Unclassified,MW455384.1,MW455384.1_1,741
MW455383.1,Anelloviridae sp.,Unclassified,Anelloviridae,P4-c1,2055263,Anelloviridae sp.,3709,blood,16,4,723,Alphatorquevirus,MW455383.1,MW455383.1_1,739
MW455382.1,Anelloviridae sp.,Unclassified,Anelloviridae,P3-c9,2055263,Anelloviridae sp.,2810,blood,0,2,287,Betatorquevirus,MW455382.1,MW455382.1_1,653
MW455381.1,Anelloviridae sp.,Unclassified,Anelloviridae,P3-c8,2055263,Anelloviridae sp.,2989,blood,140,310,1000,Betatorquevirus,MW455381.1,MW455381.1_1,673
MW455380.1,Anelloviridae sp.,Unclassified,Anelloviridae,P3-c7,2055263,Anelloviridae sp.,3215,blood,24,44,845,Unclassified,MW455380.1,MW455380.1_1,756
MW455379.1,Anelloviridae sp.,Unclassified,Anelloviridae,P3-c6,2055263,Anelloviridae sp.,3309,blood,70,537,803,Alphatorquevirus,MN765195.1,MW455379.1_1,746
MW455378.1,Anelloviridae sp.,Unclassified,Anelloviridae,P3-c5,2055263,Anelloviridae sp.,2796,blood,209,981,2051,Unclassified,MW455378.1,MW455378.1_1,665
MW455377.1,Anelloviridae sp.,Unclassified,Anelloviridae,P3-c4,2055263,Anelloviridae sp.,2885,blood,12,57,13,Betatorquevirus,MZ286269.1,MW455377.1_1,652
MW455376.1,Anelloviridae sp.,Unclassified,Anelloviridae,P3-c3,2055263,Anelloviridae sp.,3022,blood,56,108,953,Unclassified,MZ286037.1,MW455376.1_1,771
MW455375.1,Anelloviridae sp.,Unclassified,Anelloviridae,P3-c2,2055263,Anelloviridae sp.,3125,blood,16,204,904,Alphatorquevirus,MW455375.1,MW455375.1_1,731
MW455374.1,Anelloviridae sp.,Unclassified,Anelloviridae,P3-c1,2055263,Anelloviridae sp.,3160,blood,70,287,891,Alphatorquevirus,MW679006.1,MW455374.1_1,743
MW455373.1,Anelloviridae sp.,Unclassified,Anelloviridae,P2-c8,2055263,Anelloviridae sp.,2567,blood,122,1010,2198,Gammatorquevirus,MW455373.1,MW455373.1_1,669
MW455372.1,Anelloviridae sp.,Unclassified,Anelloviridae,P2-c7,2055263,Anelloviridae sp.,2904,blood,14,74,1371,Alphatorquevirus,MZ286098.1,MW455372.1_1,644
MW455371.1,Anelloviridae sp.,Unclassified,Anelloviridae,P2-c6,2055263,Anelloviridae sp.,3001,blood,13,12,976,Alphatorquevirus,OR148955.1,MW455371.1_1,767
MW455370.1,Anelloviridae sp.,Unclassified,Anelloviridae,P2-c5,2055263,Anelloviridae sp.,3051,blood,103,205,936,Unclassified,MW455448.1,MW455370.1_1,739
