Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type
MN769358.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-405-4,,"MAG: TTV-like mini virus isolate SAfiA-405-4, complete genome",2891,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769359.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-409-3,,"MAG: TTV-like mini virus isolate SAfiA-409-3, complete genome",2877,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769360.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-410-6,,"MAG: TTV-like mini virus isolate SAfiA-410-6, complete genome",2826,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769361.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-412-6,,"MAG: TTV-like mini virus isolate SAfiA-412-6, complete genome",2873,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769362.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-412-7,,"MAG: TTV-like mini virus isolate SAfiA-412-7, complete genome",2937,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769363.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-413-5,,"MAG: TTV-like mini virus isolate SAfiA-413-5, complete genome",2877,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769364.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-41-4,,"MAG: TTV-like mini virus isolate SAfiA-41-4, complete genome",2953,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769365.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-4-18,,"MAG: TTV-like mini virus isolate SAfiA-4-18, complete genome",2846,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769366.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-418-11,,"MAG: TTV-like mini virus isolate SAfiA-418-11, complete genome",2963,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769367.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-418-13,,"MAG: TTV-like mini virus isolate SAfiA-418-13, complete genome",2887,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769368.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-418-20,,"MAG: TTV-like mini virus isolate SAfiA-418-20, complete genome",2824,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769369.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-418-8,,"MAG: TTV-like mini virus isolate SAfiA-418-8, complete genome",2929,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769370.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-4-19,,"MAG: TTV-like mini virus isolate SAfiA-4-19, complete genome",2838,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769371.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-421-11,,"MAG: TTV-like mini virus isolate SAfiA-421-11, complete genome",2931,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769372.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-421-13,,"MAG: TTV-like mini virus isolate SAfiA-421-13, complete genome",2910,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769373.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-421-15,,"MAG: TTV-like mini virus isolate SAfiA-421-15, complete genome",2899,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769374.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-421-8,,"MAG: TTV-like mini virus isolate SAfiA-421-8, complete genome",2948,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769375.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-4-22,,"MAG: TTV-like mini virus isolate SAfiA-4-22, complete genome",2827,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769376.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-425-3,,"MAG: TTV-like mini virus isolate SAfiA-425-3, complete genome",2851,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769377.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-427-6,,"MAG: TTV-like mini virus isolate SAfiA-427-6, complete genome",2849,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769378.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-427-7,,"MAG: TTV-like mini virus isolate SAfiA-427-7, complete genome",2841,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769379.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-429-12,,"MAG: TTV-like mini virus isolate SAfiA-429-12, complete genome",2876,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769380.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-434-4,,"MAG: TTV-like mini virus isolate SAfiA-434-4, complete genome",2941,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769381.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-435-8,,"MAG: TTV-like mini virus isolate SAfiA-435-8, complete genome",2863,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769382.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-437-4,,"MAG: TTV-like mini virus isolate SAfiA-437-4, complete genome",2917,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769383.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-437-8,,"MAG: TTV-like mini virus isolate SAfiA-437-8, complete genome",2809,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769384.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-440-12,,"MAG: TTV-like mini virus isolate SAfiA-440-12, complete genome",2900,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769385.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-440-9,,"MAG: TTV-like mini virus isolate SAfiA-440-9, complete genome",2891,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769386.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-442-12,,"MAG: TTV-like mini virus isolate SAfiA-442-12, complete genome",2835,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769387.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-44-5,,"MAG: TTV-like mini virus isolate SAfiA-44-5, complete genome",2955,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769388.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-445-8,,"MAG: TTV-like mini virus isolate SAfiA-445-8, complete genome",2728,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769389.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-446-15,,"MAG: TTV-like mini virus isolate SAfiA-446-15, complete genome",2848,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769390.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-447-2,,"MAG: TTV-like mini virus isolate SAfiA-447-2, complete genome",2887,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769391.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-452-2,,"MAG: TTV-like mini virus isolate SAfiA-452-2, complete genome",2867,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769392.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-453-11,,"MAG: TTV-like mini virus isolate SAfiA-453-11, complete genome",2819,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
MN769393.1,GenBank,,,,,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,SAfiA-453-6,,"MAG: TTV-like mini virus isolate SAfiA-453-6, complete genome",2912,complete,Tanzania,Tanzania,,Homo sapiens,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,1,2015,2021-12-19,ssDNA(-)
