Accession	BioProjects	BioSample accession	Completeness	Gene count	Geographic Location	Geographic Region	Geographic State	Host Common Name	Host Infraspecific Names Breed	Host Infraspecific Names Cultivar	Host Infraspecific Names Ecotype	Host Infraspecific Names Isolate	Host Infraspecific Names Sex	Host Infraspecific Names Strain	Host Name	Host Pangolin Classification	Host Taxonomic ID	Is Annotated	Is Complete	Is Lab Host	Is Vaccine Strain	Isolate Collection date	Isolate Lineage	Isolate Lineage source	Lab Host	Length	Mature peptide count	Molecule type	Nucleotide completeness	Protein count	Purpose of Sampling	Release date	Segment	Source database	SRA Accessions	Submitter Affiliation	Submitter Country	Submitter Names	Update date	Virus Common Name	Virus Infraspecific Names Breed	Virus Infraspecific Names Cultivar	Virus Infraspecific Names Ecotype	Virus Infraspecific Names Isolate	Virus Infraspecific Names Sex	Virus Infraspecific Names Strain	Virus Name	Virus Pangolin Classification	Virus Taxonomic ID
MW455347.1			COMPLETE		Spain	Europe									Homo sapiens		9606	true				2019	P1-c3	blood		3487				1		2021-04-28T00:00:00Z		GenBank		Universitat de Valencia, I2SYSBIO	Spain	Cebria-Mendoza,M.,Arbona,C.,Larrea,L.,Diaz,W.,Arnau,V.,Pena,C.,Bou,J.V.,Sanjuan,R.,Cuevas,J.M.	2021-04-28T00:00:00Z								Anelloviridae sp.		2055263
MW455346.1			COMPLETE		Spain	Europe									Homo sapiens		9606	true				2019	P1-c2	blood		3569				1		2021-04-28T00:00:00Z		GenBank		Universitat de Valencia, I2SYSBIO	Spain	Cebria-Mendoza,M.,Arbona,C.,Larrea,L.,Diaz,W.,Arnau,V.,Pena,C.,Bou,J.V.,Sanjuan,R.,Cuevas,J.M.	2021-04-28T00:00:00Z								Anelloviridae sp.		2055263
MW455345.1			COMPLETE		Spain	Europe									Homo sapiens		9606	true				2019	P1-c1	blood		3687				1		2021-04-28T00:00:00Z		GenBank		Universitat de Valencia, I2SYSBIO	Spain	Cebria-Mendoza,M.,Arbona,C.,Larrea,L.,Diaz,W.,Arnau,V.,Pena,C.,Bou,J.V.,Sanjuan,R.,Cuevas,J.M.	2021-04-28T00:00:00Z								Anelloviridae sp.		2055263
MT783407.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2016				3476				4		2020-10-12T00:00:00Z		GenBank		Jiangsu University, School of Medicine	China	Zhang,W.,Yang,S.	2020-10-12T00:00:00Z								Torque teno virus		68887
MT783406.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2016				3633				3		2020-10-12T00:00:00Z		GenBank		Jiangsu University, School of Medicine	China	Zhang,W.,Yang,S.	2020-10-12T00:00:00Z								Torque teno virus		68887
MT783405.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2016				3732				4		2020-10-12T00:00:00Z		GenBank		Jiangsu University, School of Medicine	China	Zhang,W.,Yang,S.	2020-10-12T00:00:00Z								Torque teno virus		68887
MT783404.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2016				3700				3		2020-10-12T00:00:00Z		GenBank		Jiangsu University, School of Medicine	China	Zhang,W.,Yang,S.	2020-10-12T00:00:00Z								Torque teno virus		68887
MT783403.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2016				2897				3		2020-10-12T00:00:00Z		GenBank		Jiangsu University, School of Medicine	China	Zhang,W.,Yang,S.	2020-10-12T00:00:00Z								TTV-like mini virus		93678
MT506589.1			COMPLETE		USA	North America									Homo sapiens		9606	true					0405_TTV3	brain		3245				3		2020-08-03T00:00:00Z		GenBank		Arizona State University, The Biodesign Institute, Center for Fundamental and Applied	USA	Kraberger,S.,Delvaux,E.,Mastroeni,D.,Varsani,A.	2020-08-03T00:00:00Z								Torque teno virus		68887
MT506588.1			COMPLETE		USA	North America									Homo sapiens		9606	true					0405_TTV2	brain		2900				3		2020-08-03T00:00:00Z		GenBank		Arizona State University, The Biodesign Institute, Center for Fundamental and Applied	USA	Kraberger,S.,Delvaux,E.,Mastroeni,D.,Varsani,A.	2020-08-03T00:00:00Z								Torque teno virus		68887
MT501653.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2019-06	cyc/2019			3651				1		2020-07-07T00:00:00Z		GenBank		Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens	China	Zhang,T.	2020-07-07T00:00:00Z								Anellovirus cyc/2019		2749447
MT501652.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2019-06	cyc/2019			3753				1		2020-07-07T00:00:00Z		GenBank		Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens	China	Zhang,T.	2020-07-07T00:00:00Z								TT virus cyc/2019		2749454
MT501649.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2019-06	cyb/2019			3650				1		2020-07-07T00:00:00Z		GenBank		Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens	China	Zhang,T.	2020-07-07T00:00:00Z								Anellovirus cyb/2019		2749446
MT501648.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2019-06	cyb/2019			3759				1		2020-07-07T00:00:00Z		GenBank		Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens	China	Zhang,T.	2020-07-07T00:00:00Z								TT virus cyb/2019		2749453
MT501646.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2019-06	cya/2019			3651				1		2020-07-07T00:00:00Z		GenBank		Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens	China	Zhang,T.	2020-07-07T00:00:00Z								Anellovirus cya/2019		2749445
MT501645.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2019-06	cya/2019			3756				1		2020-07-07T00:00:00Z		GenBank		Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens	China	Zhang,T.	2020-07-07T00:00:00Z								TT virus cya/2019		2749452
MT210805.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2017-07				2841				4		2020-10-12T00:00:00Z		GenBank		Jiangsu University, School of Medicine	China	Yang,S.,Zhang,W.	2020-10-12T00:00:00Z								Human anellovirus zj-ad 1		2778524
MT157223.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2018		oronasopharynx		2875				4		2021-02-10T00:00:00Z		GenBank		Jiangsu University, School of Medicine	China	Li,H.,Lu,H.,Lv,J.,Zhang,W.	2021-02-10T00:00:00Z								Anelloviridae sp.		2055263
MN774989.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-405-3			3111				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774988.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-353-59			3301				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774987.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-403-16			3269				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774986.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-420-5			3083				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774985.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-348-4			2998				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774984.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-459-2			3033				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774983.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-426-3			2861				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774982.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-618-7			3009				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774981.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-635-1			2963				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774980.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-429-7			2991				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774979.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-329-2			2966				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774978.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-591-21			2941				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774977.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-668-0			3010				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774976.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-531-1			2988				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774975.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-458B-3			3010				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774974.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-45-3			2977				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774973.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-562-17			2961				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774972.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-114-8			2961				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774971.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-640-34			2896				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774970.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-584-6			2997				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774969.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2016	SAfiA-76-2			2989				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774968.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-47-21			2856				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774967.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-335-8			2866				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774965.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-276-16			2723				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774964.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-496-0			2993				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774963.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-412-9			2857				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774962.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-50-20			2902				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774961.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-48-1			2956				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774960.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-358-1			2892				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774959.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-569-59			2923				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774958.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-595-49			2894				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
MN774957.1			COMPLETE		Tanzania	Africa									Homo sapiens		9606	true				2015	SAfiA-549-8			2947				1		2021-12-26T00:00:00Z		GenBank		University Hospitals of Geneva, Laboratory of Virology	Switzerland	Cordey,S.,Laubscher,F.,Hartley,M.-A.,Junier,T.,Keitel,K.,Docquier,M.,Guex,N.,Iseli,C.,Vieille,G.,Le Mercier,P.,Gleizes,A.,Samaka,J.,Mlaganile,T.,Kagoro,F.,Masimba,J.,Said,Z.,Temba,H.,Tapparel,C.,Zanella,M.-C.,Xenarios,I.,Fellay,J.,D'Acremont,V.,Kaiser,L.	2021-12-26T00:00:00Z								Torque teno midi virus		432261
